iter	Passed	Remaining
806	3061	732
807	3064	728
808	3067	724
809	3069	719
810	3071	715
811	3074	711
812	3077	707
813	3086	705
814	3089	701
815	3091	697
816	3093	692
817	3100	689
818	3103	685
819	3112	683
820	3115	679
821	3117	675
822	3119	670
823	3122	666
824	3124	662
825	3128	659
826	3146	658
827	3148	654
828	3150	649
829	3156	646
830	3169	644
831	3171	640
832	3173	636
833	3175	632
834	3179	628
835	3188	625
836	3191	621
837	3193	617
838	3196	613
839	3198	609
840	3200	605
841	3202	600
842	3204	596
843	3207	592
844	3209	588
845	3211	584
846	3214	580
847	3216	576
848	3218	572
849	3227	569
850	3230	565
851	3233	561
852	3240	558
853	3243	554
854	3245	550
855	3248	546
856	3251	542
857	3253	538
858	3255	534
859	3258	530
860	3260	526
861	3265	522
862	3267	518
863	3270	514
864	3272	510
865	3274	506
866	3276	502
867	3278	498
868	3281	494
869	3297	492
870	3302	489
871	3310	485
872	3313	482
873	3316	478
874	3318	474
875	3321	470
876	3323	466
877	3325	462
878	3329	458
879	3332	454
880	3334	450
881	3337	446
882	3339	442
883	3341	438
884	3344	434
885	3347	430
886	3350	426
887	3364	424
888	3368	420
889	3370	416
890	3373	412
891	3376	408
892	3379	404
893	3387	401
894	3390	397
895	3393	393
896	3396	390
897	3398	386
898	3400	382
899	3403	378
900	3405	374
901	3408	370
902	3413	366
903	3420	363
904	3423	359
905	3430	355
906	3434	352
907	3441	348
908	3445	344
909	3448	341
910	3451	337
911	3458	333
912	3462	329
913	3467	326
914	3473	322
915	3475	318
916	3478	314
917	3480	310
918	3482	306
919	3485	303
920	3487	299
921	3490	295
922	3495	291
923	3499	287
924	3502	283
925	3508	280
926	3512	276
927	3514	272
928	3516	268
929	3519	264
930	3523	261
931	3534	257
932	3537	254
933	3544	250
934	3548	246
935	3551	242
936	3554	238
937	3557	235
938	3559	231
939	3562	227
940	3568	223
941	3573	220
942	3575	216
943	3577	212
944	3579	208
945	3581	204
946	3585	200
947	3588	196
948	3591	193
949	3600	189
950	3604	185
951	3606	181
952	3609	177
953	3611	174
954	3614	170
955	3628	167
956	3631	163
957	3633	159
958	3635	155
959	3637	151
960	3642	147
961	3646	144
962	3648	140
963	3659	136
964	3661	132
965	3664	128
966	3667	125
967	3670	121
968	3672	117
969	3678	113
970	3685	110
971	3688	106
972	3690	102
973	3697	98
974	3699	94
975	3701	91
976	3710	87
977	3714	83
978	3719	79
979	3722	75
980	3725	72
981	3727	68
982	3728	64
983	3732	60
984	3739	56
985	3743	53
986	3746	49
987	3749	45
988	3752	41
989	3755	37
990	3757	34
991	3761	30
992	3763	26
993	3767	22
994	3770	18
995	3772	15
996	3778	11
997	3780	7
998	3782	3
999	3784	0
